hub,target,oxygen,r,p,q,kept
RPA2540,RPA3520,Anaerobic,0.6028916510307174,3.837496803996665e-05,0.0003692271194095817,False
RPA2540,RPA3522,Anaerobic,-0.7202090229098903,1.6145185145080885e-07,4.214335973650059e-06,False
RPA2540,RPA3523,Anaerobic,0.5106114663426157,0.0007614365388572766,0.004146003483574415,False
RPA2540,RPA3525,Anaerobic,0.11889261995794222,0.46496446629763444,0.5988500949449017,False
RPA2540,RPA3528,Anaerobic,-0.5697020261671953,0.00012455819652805732,0.0009626680286477558,False
RPA2540,RPA3529,Anaerobic,-0.1861167341910533,0.2502012620459928,0.38279065671801993,False
RPA2540,RPA3530,Anaerobic,0.11810808814240581,0.46793636611582096,0.6015355224260237,False
RPA2540,RPA3532,Anaerobic,-0.46264428703994703,0.002648509682525045,0.011243553513460246,False
RPA2540,RPA3534,Anaerobic,0.10727683882539613,0.5099797525853286,0.6395151426576231,False
RPA2540,RPA3538,Anaerobic,-0.10868390541384891,0.5044129546936404,0.6344672777000523,False
RPA2540,RPA3540,Anaerobic,-0.7533090868182918,2.0347326343443278e-08,7.772439517342128e-07,False
RPA2540,RPA3541,Anaerobic,0.31101850529116715,0.05076861166812224,0.11438793880145211,False
RPA2540,RPA3543,Anaerobic,-0.6380591349123015,9.46394576051776e-06,0.00011752076688878553,False
RPA2540,RPA3546,Anaerobic,-0.07504460234673646,0.6453559173581972,0.7516825412809619,False
RPA2540,RPA3549,Anaerobic,0.34835875356651946,0.027604250783124264,0.07137911752118342,False
RPA2540,RPA3554,Anaerobic,0.09766935368129409,0.5487969728712945,0.6727951069988166,False
RPA2540,RPA3555,Anaerobic,0.04965020798787145,0.7609406727688675,0.8397633626999979,False
RPA2540,RPA3557,Anaerobic,0.2331186558495389,0.14771463495243972,0.25828661956668875,False
RPA2540,RPA3561,Anaerobic,0.3388888762898963,0.03242710027828651,0.08088317587320622,False
RPA2540,RPA3562,Anaerobic,0.13771463289616623,0.3967648473840664,0.5356078631833557,False
RPA2540,RPA3564,Anaerobic,-0.001487195916780093,0.9927332970083845,0.9955947718493797,False
RPA2540,RPA3567,Anaerobic,-0.5876970261036053,6.684635021541368e-05,0.0005799298197645087,False
RPA2540,RPA3568,Anaerobic,0.6299000305652056,1.3298676418712238e-05,0.00015491686947616368,False
RPA2540,RPA3574,Anaerobic,0.15748350179065226,0.33179566053478565,0.47093110210865596,False
RPA2540,RPA3575,Anaerobic,-0.1807163571587885,0.2644537444311156,0.39868806179255456,False
RPA2540,RPA3576,Anaerobic,-0.699985836292854,4.98400880521551e-07,1.0549868516266491e-05,False
RPA2540,RPA3577,Anaerobic,0.24059216468951616,0.13479641682772164,0.24111702491333828,False
RPA2540,RPA3583,Anaerobic,0.3113889681958004,0.05047926581028323,0.11389392105444406,False
RPA2540,RPA3588,Anaerobic,-0.7352024625769648,6.561400029196264e-08,2.0257364934785953e-06,False
RPA2540,RPA3591,Anaerobic,0.5896426406048011,6.235753389342438e-05,0.0005480886087954126,False
RPA2540,RPA3593,Anaerobic,-0.14376124316105002,0.37615443088205464,0.5154676215206024,False
RPA2540,RPA3594,Anaerobic,0.7126592102011311,2.486737477104108e-07,5.983050483931976e-06,False
RPA2540,RPA3596,Anaerobic,-0.31118434505312614,0.050638920001659475,0.11416002999911683,False
RPA2540,RPA3600,Anaerobic,0.26803730295600225,0.09448155820607441,0.1842054358007001,False
RPA2540,RPA3605,Anaerobic,-0.7621044412229188,1.1106862603665521e-08,4.777267696780358e-07,False
RPA2540,RPA3607,Anaerobic,0.724510254625809,1.2544434558054405e-07,3.418309115798636e-06,False
RPA2540,RPA3609,Anaerobic,0.29778291963580755,0.06201185764719988,0.13341558991592684,False
RPA2540,RPA3613,Anaerobic,-0.46107449855615706,0.002750664183057107,0.011582353510584386,False
RPA2540,RPA3614,Anaerobic,-0.22001929452316002,0.17250986668364546,0.29010563284482005,False
RPA2540,RPA3615,Anaerobic,0.5628203408738626,0.00015654842504438847,0.0011603088417248566,False
RPA2540,RPA3618,Anaerobic,-0.5915720675498832,5.817805782565743e-05,0.000517830189595131,False
RPA2540,RPA3622,Anaerobic,-0.7204152941027577,1.595266736195467e-07,4.1770391391983495e-06,False
RPA2540,RPA3624,Anaerobic,0.32692212486938854,0.03949111718769976,0.09417261152170457,False
RPA2540,RPA3626,Anaerobic,-0.39665643725966726,0.011275852610460083,0.03536901800828822,False
RPA2540,RPA3627,Anaerobic,-0.2873799945752462,0.07216772930805276,0.14992282366300638,False
RPA2540,RPA3628,Anaerobic,-0.7007328429812176,4.788634097820312e-07,1.0201555323706742e-05,False
RPA2540,RPA3629,Anaerobic,-0.5604628791457098,0.00016910553576408445,0.0012350142784204967,False
RPA2540,RPA3635,Anaerobic,-0.5323861583106233,0.00040608843490480496,0.002502821594456748,False
RPA2540,RPA3636,Anaerobic,-0.7097534636352217,2.925904307300251e-07,6.817815915699303e-06,False
RPA2540,RPA3637,Anaerobic,-0.489993210683227,0.0013302736707031376,0.006489048554083065,False
RPA2540,RPA3639,Anaerobic,0.33040512023771607,0.037316666507191176,0.09012802269302471,False
RPA2540,RPA3641,Anaerobic,0.15138062575511446,0.351106861834659,0.49065763901368886,False
RPA2540,RPA3644,Anaerobic,0.46182844656327826,0.0027011776990498474,0.011419905847224184,False
RPA2540,RPA3646,Anaerobic,-0.14340814866504656,0.3773402419231928,0.5165910830962667,False
RPA2540,RPA3648,Anaerobic,0.08992908380641512,0.5810537029575316,0.7003585122050449,False
RPA2540,RPA3651,Anaerobic,0.8739117211721517,1.8175111072756492e-13,6.063797540538709e-11,True
