protein,module,kME,abs_kME,r_mu,abs_r_mu,r_mu_p,in_GR_module,r_mu_q,hub_class
RPA3895,1,-0.6438461952471316,0.6438461952471316,0.32069520242828664,0.32069520242828664,0.003728517351037966,True,0.007797135946934124,Other
RPA3896,17,-0.4534750635220505,0.4534750635220505,-0.06199651390969678,0.06199651390969678,0.5848512045133188,False,0.6460848820828275,Other
RPA3898,14,0.721174717083684,0.721174717083684,-0.40241489314216694,0.40241489314216694,0.00021526003816468655,False,0.0006207110106705325,Other
RPA3899,15,0.818509069409814,0.818509069409814,0.39467267413835094,0.39467267413835094,0.0002914985381842586,False,0.0008176930293174746,Other
RPA3900,1,-0.6814520077007904,0.6814520077007904,0.36055868540239067,0.36055868540239067,0.001018256898360647,True,0.0025045073645771146,Other
RPA3902,10,-0.6613067501446266,0.6613067501446266,-0.01659755682811713,0.01659755682811713,0.8838213948758429,False,0.9032781124295214,Other
RPA3906,12,0.7024124437721161,0.7024124437721161,-0.3771447260662878,0.3771447260662878,0.0005637682543225634,False,0.0014849895720241138,Other
RPA3908,3,-0.5232618859265673,0.5232618859265673,-0.17336375277843954,0.17336375277843954,0.1240783228494085,True,0.17240377807347934,Other
RPA3913,13,-0.6409376556611956,0.6409376556611956,0.11782963810450445,0.11782963810450445,0.29790110507305173,True,0.3700350181409077,Other
RPA3914,1,-0.7850922200513866,0.7850922200513866,0.4958745042953136,0.4958745042953136,2.9088717211405715e-06,True,1.274003487301425e-05,Other
RPA3915,13,-0.6675575829548521,0.6675575829548521,0.553946858770887,0.553946858770887,9.808537904362939e-08,True,5.933047194919211e-07,Other
RPA3919,10,-0.3578838991296183,0.3578838991296183,0.0780588542691481,0.0780588542691481,0.49130007111503143,False,0.5642203043046465,Other
RPA3923,5,0.5607742254218666,0.5607742254218666,-0.06925933385190688,0.06925933385190688,0.5415581707903864,False,0.6099838658130299,Other
RPA3924,10,-0.3878041398014105,0.3878041398014105,0.04611449302557215,0.04611449302557215,0.6846064909646903,False,0.7323238788717914,Other
RPA3929,7,-0.2653001056067109,0.2653001056067109,-0.082943556004559,0.082943556004559,0.46450096213235187,True,0.5404625856389583,Other
RPA3930,1,-0.8100996759717262,0.8100996759717262,0.5975533787481817,0.5975533787481817,4.866504172048401e-09,True,3.845573722337822e-08,Other
RPA3931,13,-0.5895908828430616,0.5895908828430616,0.5921549790284413,0.5921549790284413,7.232083824336996e-09,True,5.526740601561235e-08,Other
RPA3932,3,-0.6749400107599359,0.6749400107599359,-0.4674598169653425,0.4674598169653425,1.2329056966593962e-05,True,4.710917445877569e-05,Other
RPA3937,1,-0.419751208831069,0.419751208831069,0.21922689192333983,0.21922689192333983,0.050724583248970674,True,0.07982673821469369,Other
RPA3940,12,0.6435736247293695,0.6435736247293695,-0.10639060238909462,0.10639060238909462,0.3475873730920937,False,0.4218756547921686,Other
RPA3943,2,-0.6757824380276742,0.6757824380276742,0.3698868078972523,0.3698868078972523,0.0007330448618989071,True,0.0018596506947353424,Other
RPA3947,19,0.827695613902393,0.827695613902393,0.06557464195968504,0.06557464195968504,0.5633255120374694,False,0.6280821118600958,Other
RPA3952,9,0.5330107364429004,0.5330107364429004,-0.48702941609456757,0.48702941609456757,4.6238532731512014e-06,True,1.933895389243644e-05,Other
RPA3954,1,-0.6455031256461301,0.6455031256461301,0.4484279978458904,0.4484279978458904,3.025830045831547e-05,True,0.00010561966908099966,Other
RPA3956,2,-0.8289321703837593,0.8289321703837593,0.6000589796479919,0.6000589796479919,4.0390336295228145e-09,True,3.219092467821402e-08,Other
RPA3958,15,0.529561201633277,0.529561201633277,-0.16233512702323416,0.16233512702323416,0.15024128671159018,False,0.2034475925777926,Other
RPA3960,13,-0.8053163830567328,0.8053163830567328,0.4453883040327157,0.4453883040327157,3.475356242477135e-05,True,0.00011863486290955957,Other
RPA3961,2,-0.7839150476392234,0.7839150476392234,0.5427961220068109,0.5427961220068109,1.9770583932859763e-07,True,1.1227515095816692e-06,Other
RPA3964,8,0.47155440256040904,0.47155440256040904,-0.17794756421186902,0.17794756421186902,0.11429160683557806,False,0.1607875105255064,Other
RPA3966,1,-0.6875371600513791,0.6875371600513791,0.47336787104000133,0.47336787104000133,9.227573954978722e-06,True,3.638132661230464e-05,Other
RPA3972,17,-0.6565812930362586,0.6565812930362586,-0.13943414567235252,0.13943414567235252,0.21737251758257617,False,0.2816892987793747,Other
RPA3973,10,-0.7952423164248339,0.7952423164248339,0.4207785094149876,0.4207785094149876,0.00010174953814040214,False,0.0003180957783278229,Other
RPA3974,6,-0.8803461077005194,0.8803461077005194,0.2087654989808458,0.2087654989808458,0.06311203881503845,False,0.0979106567080421,Other
