protein,module,in_GR_module
RPA1550,11,False
RPA1552,7,True
RPA1553,6,False
RPA1554,2,True
RPA1559,2,True
RPA1560,1,True
RPA1561,1,True
RPA1568,1,True
RPA1569,2,True
RPA1570,1,True
RPA1572,1,True
RPA1573,3,True
RPA1575,12,False
RPA1576,13,True
RPA1577,11,False
RPA1578,1,True
RPA1579,2,True
RPA1586,2,True
RPA1589,1,True
RPA1591,1,True
RPA1594,22,False
RPA1597,1,True
RPA1599,1,True
RPA1600,2,True
RPA1608,21,False
RPA1610,5,False
RPA1611,5,False
RPA1612,11,False
RPA1613,17,False
RPA1614,12,False
RPA1615,14,False
RPA1616,3,True
RPA1617,1,True
RPA1618,1,True
RPA1620,3,True
RPA1622,4,False
RPA1624,1,True
RPA1626,4,False
RPA1629,2,True
RPA1630,7,True
RPA1632,14,False
RPA1634,1,True
RPA1635,9,True
RPA1636,1,True
RPA1637,19,False
RPA1640,18,False
RPA1645,15,False
RPA1648,3,True
RPA1651,4,False
RPA1653,5,False
RPA1655,8,False
RPA1659,3,True
RPA1661,3,True
RPA1662,10,False
RPA1664,12,False
RPA1666,7,True
RPA1668,3,True
RPA1669,3,True
RPA1670,12,False
RPA1673,4,False
RPA1675,10,False
RPA1676,3,True
RPA1678,14,False
RPA1682,17,False
RPA1683,9,True
RPA1684,4,False
RPA1685,2,True
RPA1686,10,False
RPA1687,2,True
RPA1690,1,True
RPA1693,10,False
RPA1696,13,True
RPA1703,4,False
RPA1710,1,True
RPA1712,1,True
RPA1718,1,True
RPA1722,13,True
RPA1725,1,True
RPA1730,4,False
RPA1731,10,False
RPA1732,8,False
RPA1734,8,False
RPA1737,3,True
RPA1741,8,False
RPA1743,3,True
RPA1745,8,False
RPA1748,21,False
RPA1753,8,False
RPA1757,5,False
RPA1758,10,False
RPA1759,8,False
RPA1760,1,True
RPA1761,2,True
RPA1763,1,True
RPA1765,5,False
RPA1772,2,True
RPA1775,1,True
RPA1777,8,False
RPA1779,14,False
RPA1781,8,False
RPA1782,8,False
RPA1786,10,False
RPA1788,5,False
RPA1789,8,False
RPA1791,9,True
RPA1797,1,True
RPA1798,9,True
RPA1807,11,False
RPA1811,6,False
RPA1820,11,False
RPA1822,3,True
RPA1826,3,True
RPA1829,5,False
RPA1834,1,True
RPA1835,10,False
RPA1836,5,False
RPA1838,13,True
RPA1839,12,False
RPA1840,16,False
RPA1841,1,True
RPA1842,1,True
RPA1843,11,False
RPA1844,4,False
RPA1845,6,False
RPA1846,10,False
RPA1848,1,True
RPA1852,10,False
RPA1853,14,False
RPA1856,7,True
RPA1862,7,True
RPA1864,1,True
RPA1866,10,False
RPA1867,15,False
RPA1870,9,True
RPA1876,1,True
RPA1879,3,True
RPA1881,8,False
RPA1889,3,True
RPA1893,19,False
RPA1908,9,True
RPA1909,12,False
RPA1915,4,False
RPA1917,15,False
RPA1919,15,False
RPA1920,11,False
RPA1929,11,False
RPA1932,1,True
RPA1933,6,False
RPA1942,5,False
RPA1945,2,True
RPA1949,13,True
RPA1955,2,True
RPA1957,4,False
RPA1958,4,False
RPA1960,8,False
RPA1962,1,True
RPA1966,12,False
RPA1969,2,True
RPA1970,10,False
RPA1973,5,False
RPA1974,4,False
RPA1975,14,False
RPA1977,5,False
RPA1979,2,True
RPA1980,2,True
RPA1981,5,False
RPA1983,2,True
RPA1984,2,True
RPA1986,18,False
RPA1992,8,False
RPA1994,1,True
RPA1995,1,True
RPA1997,7,True
RPA2000,3,True
RPA2002,7,True
RPA2005,13,True
RPA2006,3,True
RPA2008,8,False
RPA2010,2,True
RPA2014,12,False
RPA2017,1,True
RPA2019,4,False
RPA2020,14,False
RPA2022,1,True
RPA2028,7,True
RPA2031,11,False
RPA2032,14,False
RPA2033,2,True
RPA2035,4,False
RPA2037,9,True
RPA2043,1,True
RPA2044,5,False
RPA2045,4,False
RPA2046,4,False
RPA2047,7,True
RPA2050,20,False
RPA2057,1,True
RPA2061,7,True
RPA2065,1,True
RPA2070,9,True
RPA2081,9,True
RPA2082,9,True
RPA2084,16,False
RPA2088,7,True
RPA2090,1,True
RPA2105,8,False
RPA2108,1,True
RPA2117,3,True
RPA2120,9,True
RPA2121,3,True
RPA2123,9,True
RPA2124,3,True
RPA2125,7,True
RPA2126,9,True
RPA2135,2,True
RPA2136,21,False
RPA2141,8,False
RPA2142,10,False
RPA2153,4,False
RPA2155,14,False
RPA2158,10,False
RPA2161,8,False
RPA2163,2,True
RPA2164,18,False
RPA2165,2,True
RPA2170,10,False
RPA2172,20,False
RPA2174,10,False
RPA2177,3,True
RPA2178,4,False
RPA2179,12,False
RPA2181,4,False
RPA2183,5,False
RPA2185,12,False
RPA2186,1,True
RPA2189,10,False
RPA2190,2,True
RPA2191,1,True
RPA2192,10,False
RPA2197,10,False
RPA2200,5,False
RPA2201,4,False
RPA2202,1,True
RPA2203,16,False
RPA2217,13,True
RPA2221,4,False
RPA2229,12,False
RPA2242,2,True
RPA2272,2,True
RPA2276,10,False
RPA2279,3,True
RPA2280,13,True
RPA2282,19,False
RPA2283,8,False
RPA2285,11,False
RPA2290,1,True
RPA2293,15,False
RPA2294,1,True
RPA2298,2,True
RPA2302,7,True
RPA2303,14,False
RPA2304,8,False
RPA2305,3,True
RPA2307,2,True
RPA2311,5,False
RPA2314,21,False
RPA2316,4,False
RPA2317,2,True
RPA2319,10,False
RPA2325,17,False
RPA2331,5,False
RPA2334,3,True
RPA2335,16,False
RPA2343,3,True
RPA2344,12,False
RPA2345,1,True
RPA2350,1,True
RPA2353,9,True
RPA2357,1,True
RPA2385,7,True
RPA2388,3,True
RPA2415,9,True
RPA2420,22,False
RPA2421,2,True
RPA2424,3,True
RPA2425,4,False
RPA2426,1,True
RPA2427,10,False
RPA2432,21,False
RPA2433,13,True
RPA2434,1,True
RPA2435,2,True
RPA2436,9,True
RPA2437,15,False
RPA2438,10,False
RPA2442,1,True
RPA2445,15,False
RPA2446,6,False
RPA2450,6,False
RPA2455,2,True
RPA2460,6,False
RPA2461,2,True
RPA2462,1,True
RPA2463,2,True
RPA2464,2,True
RPA2465,4,False
RPA2466,1,True
RPA2467,5,False
RPA2468,1,True
RPA2471,1,True
RPA2473,10,False
RPA2477,1,True
RPA2486,1,True
RPA2488,2,True
RPA2491,5,False
RPA2496,3,True
RPA2500,1,True
RPA2501,6,False
RPA2502,15,False
RPA2503,6,False
RPA2504,6,False
RPA2505,1,True
RPA2507,13,True
RPA2511,12,False
RPA2513,2,True
RPA2516,19,False
RPA2521,5,False
RPA2523,8,False
RPA2524,9,True
RPA2537,10,False
RPA2540,19,False
RPA2543,21,False
RPA2546,21,False
RPA2547,3,True
RPA2552,2,True
RPA2553,15,False
RPA2560,7,True
RPA2568,4,False
RPA2569,1,True
RPA2572,5,False
RPA2573,7,True
RPA2576,1,True
RPA2579,21,False
RPA2580,5,False
RPA2582,1,True
RPA2583,22,False
RPA2584,1,True
RPA2587,11,False
RPA2590,14,False
RPA2592,14,False
RPA2593,7,True
RPA2594,1,True
RPA2595,3,True
RPA2596,1,True
RPA2597,9,True
RPA2601,16,False
RPA2602,17,False
RPA2604,13,True
RPA2606,3,True
RPA2607,2,True
RPA2612,12,False
RPA2619,6,False
RPA2620,2,True
RPA2621,13,True
RPA2624,10,False
RPA2628,1,True
RPA2642,18,False
RPA2646,1,True
RPA2647,4,False
RPA2648,13,True
RPA2651,2,True
RPA2652,13,True
RPA2654,3,True
RPA2656,1,True
RPA2658,1,True
RPA2659,6,False
RPA2660,18,False
RPA2661,11,False
RPA2667,1,True
RPA2669,11,False
RPA2671,18,False
RPA2674,1,True
RPA2675,19,False
RPA2681,10,False
RPA2682,4,False
RPA2683,2,True
RPA2684,16,False
RPA2685,15,False
RPA2687,2,True
RPA2688,9,True
RPA2689,8,False
RPA2691,4,False
RPA2692,2,True
RPA2693,5,False
RPA2694,4,False
RPA2695,10,False
RPA2697,2,True
RPA2701,12,False
RPA2702,4,False
RPA2703,17,False
RPA2712,7,True
RPA2714,2,True
RPA2715,10,False
RPA2716,9,True
RPA2717,22,False
RPA2720,5,False
RPA2724,7,True
RPA2725,1,True
RPA2726,6,False
RPA2727,5,False
RPA2728,12,False
RPA2729,2,True
RPA2731,9,True
RPA2732,10,False
RPA2735,7,True
RPA2737,12,False
RPA2738,16,False
RPA2739,1,True
RPA2740,7,True
RPA2741,1,True
RPA2742,13,True
RPA2748,2,True
RPA2749,16,False
RPA2755,3,True
RPA2763,8,False
RPA2764,12,False
RPA2765,4,False
RPA2766,11,False
RPA2767,6,False
RPA2768,2,True
RPA2770,13,True
RPA2772,3,True
RPA2773,5,False
RPA2775,4,False
RPA2777,12,False
RPA2778,5,False
RPA2779,5,False
RPA2782,8,False
RPA2787,12,False
RPA2788,9,True
RPA2799,17,False
RPA2801,1,True
RPA2803,2,True
RPA2805,2,True
RPA2807,2,True
RPA2810,1,True
RPA2811,6,False
RPA2812,11,False
RPA2814,2,True
RPA2816,3,True
RPA2819,9,True
RPA2822,19,False
RPA2823,2,True
RPA2825,3,True
